epoch,batch,train_loss,train_accuracy
3.0,397.0,0.8633025,0.84375
3.0,398.0,0.6943436,0.875
3.0,399.0,1.1099724,0.625
3.0,400.0,0.96301645,0.6875
3.0,401.0,0.85198945,0.75
3.0,402.0,0.87380826,0.78125
3.0,403.0,0.7344248,0.875
3.0,404.0,0.7555759,0.75
3.0,405.0,0.7298692,0.78125
3.0,406.0,0.6355346,0.8125
3.0,407.0,1.0575887,0.6875
3.0,408.0,0.78320515,0.875
3.0,409.0,0.93727905,0.75
3.0,410.0,0.62587595,0.90625
3.0,411.0,0.9851,0.7391304347826086
4.0,412.0,0.7461246,0.78125
4.0,413.0,1.0322016,0.78125
4.0,414.0,0.79570556,0.75
4.0,415.0,1.0542116,0.65625
4.0,416.0,0.8222591,0.84375
4.0,417.0,0.7703368,0.75
4.0,418.0,0.59120834,0.90625
4.0,419.0,1.0538582,0.71875
4.0,420.0,0.6908621,0.8125
4.0,421.0,0.5619387,0.875
4.0,422.0,0.6964374,0.84375
4.0,423.0,0.69615555,0.875
4.0,424.0,0.6152957,0.84375
4.0,425.0,0.74347353,0.84375
4.0,426.0,0.7226508,0.84375
4.0,427.0,0.77600724,0.84375
4.0,428.0,0.8367299,0.78125
4.0,429.0,0.9408028,0.65625
4.0,430.0,0.86728907,0.75
4.0,431.0,0.9244084,0.71875
4.0,432.0,0.6306746,0.84375
4.0,433.0,0.76707196,0.75
4.0,434.0,0.6149785,0.84375
4.0,435.0,0.78593194,0.6875
4.0,436.0,0.7791464,0.75
4.0,437.0,0.73975176,0.8125
4.0,438.0,0.6589987,0.84375
4.0,439.0,0.8538734,0.6875
4.0,440.0,0.6875028,0.875
4.0,441.0,1.1134397,0.71875
4.0,442.0,1.0154662,0.65625
4.0,443.0,1.0222511,0.75
4.0,444.0,0.87374556,0.6875
4.0,445.0,0.90320385,0.75
4.0,446.0,0.8783646,0.78125
4.0,447.0,0.7411266,0.75
4.0,448.0,0.69678897,0.78125
4.0,449.0,0.97610736,0.78125
4.0,450.0,0.7196731,0.84375
4.0,451.0,1.1352763,0.625
4.0,452.0,1.1762532,0.6875
4.0,453.0,0.74298644,0.78125
4.0,454.0,1.0009665,0.75
4.0,455.0,0.6027876,0.84375
4.0,456.0,0.78426796,0.8125
4.0,457.0,0.74452746,0.8125
4.0,458.0,0.7919046,0.75
4.0,459.0,0.72699136,0.75
4.0,460.0,0.97321796,0.78125
4.0,461.0,0.96687084,0.71875
4.0,462.0,0.9108719,0.78125
4.0,463.0,1.1856416,0.625
4.0,464.0,0.7119398,0.875
4.0,465.0,0.86220175,0.75
4.0,466.0,0.5519477,0.875
4.0,467.0,0.59049326,0.90625
4.0,468.0,0.73221993,0.84375
4.0,469.0,0.7735543,0.84375
4.0,470.0,0.7257621,0.8125
4.0,471.0,0.85960156,0.78125
4.0,472.0,1.038631,0.71875
4.0,473.0,0.54814345,0.875
4.0,474.0,0.999202,0.75
4.0,475.0,0.8941222,0.75
4.0,476.0,0.9619043,0.78125
4.0,477.0,1.0457673,0.625
4.0,478.0,0.8721022,0.78125
4.0,479.0,0.7483808,0.75
4.0,480.0,0.94109774,0.75
4.0,481.0,0.9357542,0.6875
4.0,482.0,0.9056751,0.65625
4.0,483.0,0.6501804,0.84375
4.0,484.0,0.65225744,0.84375
4.0,485.0,0.7868959,0.84375
4.0,486.0,1.0444059,0.75
4.0,487.0,0.7115576,0.8125
4.0,488.0,0.47457573,0.875
4.0,489.0,0.6022455,0.84375
4.0,490.0,0.9705064,0.75
4.0,491.0,0.71831423,0.90625
4.0,492.0,0.7549481,0.8125
4.0,493.0,0.6058713,0.8125
4.0,494.0,0.65338767,0.8125
4.0,495.0,0.67184716,0.8125
4.0,496.0,0.8060784,0.8125
4.0,497.0,0.6270716,0.84375
4.0,498.0,0.8779335,0.78125
4.0,499.0,0.7706267,0.8125
4.0,500.0,0.6860586,0.78125
4.0,501.0,0.75024736,0.8125
4.0,502.0,1.0607554,0.6875
4.0,503.0,0.62550765,0.875
4.0,504.0,0.9151769,0.78125
4.0,505.0,0.79290605,0.75
4.0,506.0,0.82138956,0.71875
4.0,507.0,0.8743547,0.75
4.0,508.0,0.95916927,0.78125
4.0,509.0,0.57381284,0.90625
4.0,510.0,0.6171831,0.84375
4.0,511.0,0.64125,0.90625
4.0,512.0,0.8756253,0.75
4.0,513.0,0.6552582,0.8125
4.0,514.0,0.7727319,0.78125
4.0,515.0,0.5286047,0.90625
4.0,516.0,0.63597524,0.8125
4.0,517.0,0.5903229,0.84375
4.0,518.0,1.0391916,0.6875
4.0,519.0,0.8465128,0.71875
4.0,520.0,0.60499007,0.84375
4.0,521.0,0.70391476,0.75
4.0,522.0,0.8241519,0.75
4.0,523.0,0.6192737,0.875
4.0,524.0,0.6222832,0.875
4.0,525.0,0.4831462,0.84375
4.0,526.0,0.7367092,0.71875
4.0,527.0,0.79289085,0.8125
4.0,528.0,0.9474993,0.71875
4.0,529.0,0.7607798,0.78125
4.0,530.0,0.8192892,0.71875
4.0,531.0,0.5473255,0.9375
4.0,532.0,0.7309622,0.78125
4.0,533.0,0.46591395,0.875
4.0,534.0,0.52728665,0.90625
4.0,535.0,0.55146784,0.84375
4.0,536.0,0.7721439,0.78125
4.0,537.0,0.7831783,0.84375
4.0,538.0,1.050334,0.71875
4.0,539.0,0.6748743,0.875
4.0,540.0,0.51219463,0.84375
4.0,541.0,0.679831,0.75
4.0,542.0,0.85724086,0.75
4.0,543.0,0.77055645,0.875
4.0,544.0,0.89813524,0.78125
